Gana,Kanji,Meaning,JP_Example_1,JP_Example_Pronunciation_1,JP_Example_Meaning_1,JP_Example_2,JP_Example_Pronunciation_2,JP_Example_Meaning_2
せんげつ,先月,지난달,先月、友達と旅行に行きました。,せんげつ、ともだちと りょこうに いきました。,지난달 친구와 여행을 갔습니다.,先月、初めて日本の映画を観ました。,せんげつ、はじめてにほんのえいがをみました。,지난달에 처음으로 일본 영화를 봤습니다.
せんじつ,先日,"지난번, 요전",せんじつ、きみとひさしぶりにあったよね。,せんじつ、きみとひさしぶりにあったよね。,"지난번, 너랑 오랜만에 만났지.",先日、友人に会いました。,せんじつ、ゆうじんにあいました。,지난번에 친구를 만났습니다
せんしゅう,先週,지난주,せんしゅうわたしはかぞくとなごやにいきました。,せんしゅうわたしはかぞくとなごやにいきました。,지난주 나는 가족과 함께 나고야에 갔습니다.,せんしゅうは友だちに会えませんでした。,せんしゅうはともだちにあえませんでした。,지난주에 친구를 만날 수 없었습니다
せんせい,先生,선생님,先生はとてもわかりやすく教えてくれました。,せんせいはとてもわかりやすくおしえてくれました。,선생님께서는 매우 이해하기 쉽게 가르쳐주셨습니다.,私はせんせいに質問をしました。,わたしはせんせいにしつもんをしました。,저는 선생님께 질문을 했습니다
ぜんぜん,全然,"전혀, 온통",その言葉はぜんぜん知らない。,その ことば は ぜんぜん しらない。,그 말은 전혀 모른다.,この映画はぜんぜんおもしろくなかった。,このえいがはぜんぜんおもしろくなかった。,이 영화는 전혀 재미있지 않았다.
せんたく,洗濯,세탁,せんたくばをあらっておく。,せんたくばをあらっておく。,세탁물을 미리 정리해 둔다.,今日はせんたくをします。,きょうはせんたくをします。,오늘은 세탁을 합니다.
せんぱい,,선배,せんぱいにいつも助けてもらっています。,せんぱいにいつもたすけてもらっています。,선배님께 항상 도움을 받고 있습니다.,せんぱいは私の大学の先輩です。,せんぱいはわたしのだいがくのせんぱいです。,선배는 내 대학의 선배입니다
ぜんぶ,,<全部> 전부,私はその本をぜんぶ読みました。,わたしはそのほんをぜんぶよみました。,나는 그 책을 전부 읽었습니다.,この本のぜんぶを読みました。,このほんのぜんぶをよみました。,이 책의 전부를 읽었습니다
そう,,그렇게,そうしてください。,そうしてください。,그렇게 해주세요.,彼はそう言った。,かれはそういった。,그는 그렇게 말했다
そうじ,,청소,私は毎日そうじをします。,わたしは まいにち そうじを します。,나는 매일 청소를 합니다.,毎日、教室のそうじをします。,まいにち、きょうしつのそうじをします。,매일 교실의 청소를 합니다
そうだん,相談,"상담, 논의",彼女と将来のことについてそうだんした。,かのじょ と しょうらい の こと に ついて そうだん した。,그녀와 미래에 대해 상담했다.,進路のことでそうだんをしたくて、先生に相談した。,しんろのことでそうだんをしたくて、せんせいにそうだんした。,진로에 대해 상의하고 싶어서 선생님께 상담했다
そこ,,거기,そこに本をおいた。,そこに ほんを おいた。,거기에 책을 놓았습니다.,そこに本があります。,そこにほんがあります。,거기에 책이 있습니다
そして/そうして,,그리고,私は朝起きて、そして学校に行きました。,わたしはあさおきて、そしてがっこうにいきました。,"나는 아침에 일어나서, 그리고 학교에 갔습니다.",彼は宿題を終え、そうして外へ遊びに出かけた。,かれはしゅくだいをおえ、そうしてそとへあそびにでかけた。,"그는 숙제를 끝내고, 그리고 밖으로 놀러 나갔다"
そちら/そっち,,그쪽,そっちの席に座ってください。,そっちのせきにすわってください。,그쪽 자리에 앉아 주세요.,そちらの席でお待ちください。,そちらのせきでおまちください。,그쪽 자리에서 기다려 주세요
そつぎょう,卒業,졸업,そっぎょうしきにはぜひそなたの家族もさそいたい。,そっぎょうしきにはぜひそなたのかぞくもさそいたい。,졸업식에는 꼭 당신의 가족도 초대하고 싶다.,来年、私は大学をそつぎょうします。,らいねん、わたしはだいがくをそつぎょうします。,내년에 저는 대학을 졸업합니다.
そと,外,밖,そとですごくさむくなりました。,そとですごくさむくなりました。,밖에서 매우 춥게 되었습니다.,今日は外でピクニックをします。,きょうはそとでピクニックをします。,오늘은 밖에서 피크닉을 합니다
その,,그,その難しい問題を解くために、しっかり勉強しなければなりません。,そのむずかしいもんだいをとくために、しっかりべんきょうしなければなりません。,그 어려운 문제를 풀기 위해서는 열심히 공부해야 합니다.,その本はとてもおもしろいです。,そのほんはとてもおもしろいです。,그 책은 아주 재미있습니다
そふ,祖父,할아버지,祖父は庭で野菜を育てています。,そふは にわで やさいを そだてています。,할아버지는 뜰에서 채소를 기르고 계십니다.,私の祖父は今年も元気です。,わたしのそふはことしもげんきです。,나의 할아버지는 올해도 건강합니다.
そぼ,祖母,할머니,私のそぼは年をとっても、毎日散歩に出かけています。,わたしのそぼはとしをとっても、まいにちさんぽにでかけています。,할머니는 나이가 들어도 매일 산책을 나갑니다.,私の祖母は毎日私に話しかけてくれます。,わたしのそぼはまいにちわたしにはなしかけてくれます,제 할머니는 매일 제게 말을 걸어주십니다
そら,空,하늘,そらを見上げると、雲がきれいに浮かんでいた。,そらをみあげると、くもがきれいにうかんでいた。,"하늘을 올려다보니, 구름이 아름답게 떠 있었다.",そらは青いです。,そらはあおいです。,하늘은 파랗습니다.
それ,,그것,それはとても重要な本です。,それはとてもじゅうようなほんです。,그것은 매우 중요한 책입니다.,それは私の本です。,それはわたしのほんです。,그것은 제 책입니다
それから,,그리고,それから私は公園に行きました。,それから わたしは こうえんに いきました。,그리고 나는 공원에 갔습니다.,朝ごはんを食べて、それから学校へ行きました。,あさごはんをたべて、それからがっこうへいきました。,아침을 먹고 그리고 학교에 갔습니다
それで,,"그래서, 그런데",それで、晩ご飯を作ろうと思います。,それで、ばんごはんをつくろうとおもいます。,그래서 저녁밥을 만들려고 합니다.,それで、私はこの本を買いました。,それで、わたしはこのほんをかいました。,그래서 저는 이 책을 샀습니다
それでは/それじゃ,,그럼,それでは、始めましょう。,それでは、はじめましょう。,"그럼, 시작합시다.",それでは、これで失礼します。,それでは、これでしつれいします。,그럼 이것으로 실례하겠습니다
それに,,게다가,それに、天気が悪かったので、外出するのをあきらめた。,それに、てんきがわるかったので、がいしゅつするのをあきらめた。,"게다가, 날씨가 나빴기 때문에, 외출하는 것을 포기했다.",今日は雨が降っていて、それに風も強い。,きょうはあめがふっていて、それにかぜもつよい。,"오늘은 비가 오고, 게다가 바람도 강하다"
そろそろ,,"이제 그만, 슬슬",そろそろお風呂に入らなくてはいけません。,そろそろおふろにはいらなくてはいけません。,이제는 목욕탕에 들어가야 합니다.,そろそろ終わりにしよう。,そろそろおわりにしよう。,이제 그만하자
そんな,,그러한,そんなに気にしないでください。,そんなに きにしないで ください。,그렇게 걱정하지 마세요.,そんなことは信じられません。,そんなことはしんじられません。,그런 일은 믿을 수 없습니다
たいいく,体育,체육,子供たちはたいいくのじかんがいちばんすきです。,こどもたちは たいいくの じかんが いちばん すきです。,아이들은 체육 시간을 가장 좋아합니다.,今日は体育の授業で外で走った。,きょうはたいいくのじゅぎょうでそとではしった。,오늘은 체육 시간에 밖에서 달렸다
たいかい,大会,대회,世界選手権大会に出場することができました。,せかいせんしゅけんたいかいにしゅつじょうすることができました。,세계 선수권 대회에 출전할 수 있었습니다.,明日の大会は東京で開催されます。,あしたのたいかいはとうきょうでかいさいされます。,내일의 대회는 도쿄에서 개최됩니다
だいがく,大学,대학교,私はだいがくに行っています。,わたしはだいがくにいっています。,저는 대학교에 다닙니다.,私は大学で日本語を勉強しています。,わたしはだいがくでにほんごをべんきょうしています。,저는 대학에서 일본어를 공부하고 있습니다
だいじ,大事,"중요함, 소중함",子供の夢を守ることはだいじです。,こどもの ゆめを まもることは だいじです。,아이의 꿈을 지키는 것이 중요합니다.,この写真は私にとってだいじな思い出です。,このしゃしんはわたしにとってだいじなおもいでです。,이 사진은 나에게 있어 소중한 추억입니다
だいじょうぶ,,괜찮음,心配しないで、だいじょうぶです。,しんぱいしないで、だいじょうぶです。,"걱정하지 마세요, 괜찮습니다.",体調はだいじょうぶです。,たいちょうはだいじょうぶです。,몸 상태는 괜찮습니까?
だいすき,大好き,매우 좋아함,私はチョコレートがだいすきです。,わたしはチョコレートがだいすきです。,나는 초콜렛을 매우 좋아합니다.,私は犬が大好きです。,わたしはいぬがだいすきです。,저는 개를 아주 좋아합니다
たいせつ,大切,"중요함, 소중함",両親のことばは私にとってとても大切です。,りょうしん の ことば は わたし に とって とても たいせつ です。,부모님의 말씀은 저에게 매우 소중합니다.,私は家族の存在をとても大切にしています。,わたしはかぞくのそんざいをとてもたいせつにしています。,나는 가족의 존재를 매우 소중하게 생각합니다
だいたい,大体,"대강, 대략",彼の答えはだいたいあっていると思う。,かれのこたえはだいたいあっていると おもう。,그의 대답은 대체로 맞는 것 같다.,この会議はだいたい30分くらいで終わります。,このかいぎはだいたいさんじゅっぷんくらいでおわります。,이 회의는 대략 30분 정도로 끝납니다
たいてい,大抵,"대체로, 대부분",彼はたいてい遅刻する。,かれはたいていちこくする。,그는 대체로 지각한다.,大抵の人は朝起きてすぐにコーヒーを飲む。,たいていのひとはあさおきてすぐにコーヒーをのむ。,대부분의 사람들은 아침에 일어나자마자 커피를 마신다
だいぶ,,"상당히, 많이",今朝は朝食を食べずに出勤したので、だいぶお腹がすいた。,けさはあさごはんをたべずにしゅっきんしたので、だいぶおなかがすいた。,아침에 아침밥을 먹지 않고 출근해서 상당히 배가 고팠다.,この仕事はだいぶ進んだ。,このしごとはだいぶすすんだ。,이 일은 꽤 진행됐다
たいへん,大変,"힘듦, 큰일",たいへんな試験がありました。,たいへんなしけんがありました。,매우 힘든 시험이 있었습니다.,この仕事は大変です。,このしごとはたいへんです。,이 일은 매우 힘듭니다
たかい,高い,"높다, 비싸다",私のスキルの値段はたかいです。,わたしの すきるの ねだんは たかいです。,내 기술의 가격은 비쌉니다.,このビルはとても高いです。,このビルはとてもたかいです。,이 빌딩은 아주 높습니다
だから,,그러니까,子供のころからよく母に言われていた言葉だから、今でも心に残っている。,こどものころからよくははにいわれていたことばだから、いまでもこころにのこっている。,"그래서 어렸을 때부터 어머니께서 자주 말씀하셨던 것이기 때문에, 지금도 마음에 남아있다.",今日は雨が降っている、だから出かけられない。,きょうはあめがふっている、だからでかけられない。,오늘은 비가 와서 밖에 나갈 수 없다
たくさん,,많이,私はたくさん本を読みました。,わたしはたくさんほんをよみました。,나는 많은 책을 읽었습니다.,私はたくさんの本を読みます。,わたしはたくさんのほんをよみます。,저는 많은 책을 읽습니다
タクシー,,택시,東京の街ではタクシーが利用しやすい。,とうきょうのまちではタクシーがりようしやすい。,도쿄 거리에서는 택시를 이용하기 편리하다.,駅までタクシーで行きます。,えきまでタクシーでいきます。,역까지 택시로 갑니다
だす,出す,"내다, 부치다",朝早く新聞をだすのを忘れないでください。,あさはやく しんぶんを だすのを わすれないで ください。,아침 일찍 신문을 내놓는 것을 잊지 마세요.,今朝は早く起きて、ゴミを出した。,けさははやくおきて、ごみをだした。,오늘 아침 일찍 일어나 쓰레기를 내놓았다
たすける,助ける,돕다,私は弟を勉強でたすけることができる。,わたしは おとうとを べんきょうで たすけることが できる。,나는 동생을 공부에서 도울 수 있다.,彼は困っている人を助ける。,かれはこまっているひとをたすける。,그는 곤란에 처한 사람을 돕는다
たずねる,,"방문하다, 묻다",医者に病状をたずねました。,いしゃにびょうじょうをたずねました。,의사에게 병세를 물었습니다.,今日は父をたずねるために病院へ行く。,きょうはちちをたずねるためにびょういんへいく。,오늘은 아버지를 찾아 병원에 간다
ただしい,正しい,옳다,その考え方は正しいです。,そのかんがえかたはただしいです。,그 생각 방식은 옳습니다.,この答えは正しいです。,このこたえはただしいです。,이 답은 옳습니다
たつ,立つ,서다,彼は式場で立った。,かれはしきじょうでたった。,그는 예식장에서 섰다.,彼は会議室で座っていたが、突然立った。,かれはかいぎしつで すわっていたが、 とつぜんたった。,그는 회의실에서 앉아 있다가 갑자기 일어섰다
たてもの,建物,건물,夜景からみると、たてものの明かりがきれいだ。,よけいからみると、たてものの あかりが きれいだ。,"밤경치에서 보면, 건물의 불빛이 예쁘다.",このたてものはとても美しいです。,このたてものはとてもうつくしいです。,이 건물은 매우 아름답습니다
たてる,立てる・建てる,세우다,私は新しい会社を立てました。,わたしはあたらしいかいしゃをたてました。,나는 새 회사를 세웠다.,来年、新しい家を建てる計画を立てる。,らいねん、あたらしいいえをたてるけいかくをたてる。,내년에는 새 집을 짓기 위한 계획을 세운다
たとえば,,예를 들면,日本の伝統的な習慣については、たとえば、お正月の行事があげられます。,にほんのでんとうてきなしゅうかんについては、たとえば、おしょうがつのぎょうじがあげられます。,예를 들어 일본의 전통적인 습관에 대해서는 설날 행사가 거론될 수 있습니다.,たとえば、私の好きな食べ物はパンとチーズです。,たとえば、わたしのすきなたべものはパンとチーズです。,"예를 들면, 제가 좋아하는 음식은 빵과 치즈입니다"
たのしい,楽しい,즐겁다,楽しい経験がたくさんできました。,たのしいけいけんがたくさんできました。,즐거운 경험을 많이 할 수 있었습니다.,今日はとてもたのしくて、楽しい一日でした。,きょうはとてもたのしくて、たのしいいちにちでした。,오늘은 매우 재미있고 즐거운 하루였습니다
たのしむ,楽しむ,즐기다,子供達は公園で思い切り楽しんでいました。,こどもたちは こうえんで おもいきり たのしんで いました。,아이들은 공원에서 마음껏 즐겼습니다.,彼は新しいゲームを楽しむ。,かれはあたらしいゲームをたのしむ。,그는 새로운 게임을 즐긴다
たのむ,,부탁하다,これを届けるのをたのむ。,これを とどけるのを たのむ。,이것을 전달하는 것을 부탁합니다.,彼にこの仕事を手伝ってくれとたのむ。,かれにこのしごとをてつだってくれとたのむ。,그에게 이 일을 도와 달라고 부탁합니다
たぶん,,아마,たぶんあしたは雨が降るでしょう。,たぶんあしたはあめがふるでしょう。,아마 내일은 비가 올 것입니다.,たぶん明日、雨が降るでしょう。,たぶんあした、あめがふるでしょう。,아마 내일 비가 올 거예요
たべもの,食べ物,음식,この店のたべものはとてもおいしいです。,このみせのたべものはとてもおいしいです。,이 가게의 음식은 매우 맛있습니다.,この食べ物はおいしいです。,このたべものはおいしいです。,이 음식은 맛있습니다
たべる,食べる,먹다,食べ物を食べる前に手を洗いましょう。,たべものをたべるまえにてをあらいましょう。,음식을 먹기 전에 손을 씻읍시다.,彼は毎日リンゴを食べる。,かれはまいにちりんごをたべる。,그는 매일 사과를 먹는다
たまご,,달걀,朝ごはんにたまごを食べました。,あさごはんにたまごをたべました。,아침 식사로 달걀을 먹었습니다.,毎朝、たまごを2つ食べます。,まいあさ、たまごをふたつたべます。,매일 아침 달걀 두 개를 먹습니다.
ため,,"~위함, ~때문",健康のためにジョギングをする。,けんこうのためにジョギングをする。,건강을 위해 조깅을 한다.,健康のために運動をしています。,けんこうのためにうんどうをしています。,건강을 위해 운동하고 있습니다
だめ,,안 됨,子供の頃、両親はよく「夜遅くまで外で遊んではだめ」と言っていた。,こどものころ、りょうしんはよく「よるおそくまでそとであそんではだめ」といっていた。,"어릴 적에 부모님들은 자주 ""밤늦게까지 밖에서 놀면 안 된다""고 말씀하셨다.",ここでタバコを吸うのはだめです。,ここでたばこをすうのはだめです。,여기에서 담배를 피우는 것은 안 됩니다.
だれ,,누구,部屋にだれがいますか。,へやにだれがいますか。,방에 누가 있습니까?,だれが来たのですか？,だれがきたのですか？,누가 왔나요?
たんじょうび,誕生日,생일,きのう、友達のたんじょうびパーティーに行った。,きのう、ともだちのたんじょうびパーティーにいった。,"어제, 친구의 생일 파티에 갔다.",今日は私の誕生日です。,きょうはわたしのたんじょうびです。,오늘은 제 생일입니다
だんだん,,점점,朝が近づくにつれて、外は段々と明るくなっていく。,あさがちかづくにつれて、そとはだんだんとあかるくなっていく。,밖은 점점 밝아진다.,だんだん寒くなってきた。,だんだんさむくなってきた。,점점 추워져 왔다.
ちいさい,小さい,작다,この部屋はちいさすぎます。,この へや は ちいさ すぎます。,이 방은 너무 작습니다.,このちいさい箱を開けてください。,このちいさいはこをあけてください,이 작은 상자를 열어 주세요
ちかい,近い,가깝다,この町は駅から近いです。,この まち は えき から ちかい です。,이 마을은 역에서 가깝습니다.,この店は駅から近いです。,このみせはえきからちかいです。,이 가게는 역에서 가깝습니다
ちがう,,"다르다, 틀리다",その答えはちがうでしょう。,そのこたえはちがうでしょう。,그 답변은 다르겠지요.,この答えはちがう。,このこたえはちがう。,이 대답은 다르다
ちかてつ,地下鉄,지하철,東京のちかてつは本当に便利です。,とうきょうのちかてつはほんとうにべんりです。,도쿄의 지하철은 정말 편리합니다.,私は地下鉄で通勤します。,わたしはちかてつでつうきんします。,저는 지하철로 출퇴근합니다
ちから,力,힘,私はこの仕事に全力を注ぎたいと思います。,わたしはこのしごとにぜんりょくをそそぎたいとおもいます。,나는 이 일에 전력을 다하고 싶습니다.,彼は自分のちからを信じて前に進んだ。,かれはじぶんのちからをしんじてまえにすすんだ。,그는 자신의 힘을 믿고 앞으로 나아갔다
チケット,,"티켓, 표",チケットを買って電車に乗ります。,ちけっとをかってでんしゃにのります。,표를 사서 기차를 타겠습니다.,コンサートのチケットを二枚買いました。,こんさあとのちけっとをにまいかいました。,콘서트 티켓 두 장을 샀습니다
ちち,父,아버지,ちちはげんきでした。,ちちはげんきでした。,아버지는 건강했습니다.,ちちは医者です。,ちちはいしゃです。,아버지는 의사입니다.
ちゅうい,注意,주의,"学校の廊下で走ってはいけません, ちゅういしてください。","がっこう の ろうか で はしって は いけません, ちゅうい して ください。",학교 복도에서 달리면 안됩니다. 주의하세요.,この先は段差があるので、足元にちゅういしてください。,このさきはだんさがあるので、あしもとにちゅういしてください。,이 구간은 높낮이가 있어 발밑에 주의해 주세요
ちゅうがっこう/ちゅうがく,中学校/中学,중학교,私はちゅうがっこうに通っています。,わたしはちゅうがっこうにかよっています。,나는 중학교에 다닙니다.,私は中学校に通っています。,わたしはちゅうがっこうにかよっています。,나는 중학교에 다니고 있습니다
ちょうど,,"마침, 마치, 정확히",私は今日の朝食にちょうど良いタイミングで起きた。,わたし は きょう の あさごはん に ちょうど いい タイミング で おきた。,나는 오늘 아침 식사에 꼭 좋은 타이밍에 일어났다.,ちょうど六時に駅に着いた。,ちょうどろくじにえきについた。,나는 정확히 6시에 역에 도착했다
ちょっと,,"좀, 잠깐",手が熱くなったらちょっと休憩をとりましょう。,てが あつく なったら ちょっと きゅうけいを とりましょう。,손이 뜨거워지면 잠시 휴식을 취합시다.,ちょっと待ってください。,ちょっとまってください。,잠깐 기다려 주세요
つかう,使う,사용하다,毎日のようにコンピューターをつかいます。,まいにちのようにコンピューターをつかいます。,매일처럼 컴퓨터를 사용합니다.,この道具をつかうと便利です。,このどうぐをつかうとべんりです。,이 도구를 사용하면 편리합니다
つかれる,疲れる,피곤하다,一日中働いて、とてもつかれました。,いちにちじゅうはたらいて、とてもつかれました。,하루 종일 일해서 정말 피곤했습니다.,今日は長い会議でつかれて疲れました。,きょうはながいかいぎでつかれてつかれました。,오늘은 긴 회의로 피곤했습니다
つき,月,달,今晩は月がきれいですね。,こんばんは つきが きれいですね。,오늘 밤에는 달이 예쁘네요.,今夜は月がとてもきれいです。,こんやはつきがとてもきれいです。,오늘 밤은 달이 아주 예쁩니다
つぎ,次,다음,次の駅で降りますか。,つぎのえきでおりますか。,다음 역에서 내리시겠습니까?,つぎのページを開いてください。,つぎのぺえじをひらいてください。,다음 페이지를 열어 주세요.
つく,,"붙다, 켜지다",電気をつけると部屋が明るくなりました。,でんきをつけるとへやがあかるくなりました。,전기를 켜면 방이 밝아졌습니다.,スイッチを入れてもライトがつかない。,すいっちをいれても、らいとがつかない。,스위치를 켜도 불이 켜지지 않는다
つく,着く,도착하다,私は家につきました。,わたしはいえにつきました。,나는 집에 도착했다.,空港に着くと、荷物を受け取りに出口へ向かった。,くうこうにつくと、にもつをうけとりにでぐちへむかった。,공항에 도착하자 짐을 찾으러 출구 쪽으로 향했다
つくえ,,책상,私の部屋の中にはつくえがあります。,わたしのへやのなかにはつくえがあります。,나의 방 안에는 책상이 있습니다.,このつくえはとても丈夫です。,このつくえはとてもじょうぶです。,이 책상은 아주 튼튼합니다
つくる,作る,만들다,祖父は毎日手作りのパンをつくります。,そふは まいにち てづくりの ぱんを つくります。,할아버지는 매일 수제 빵을 만듭니다.,私はお弁当を作る。,わたしはおべんとうをつくる。,나는 도시락을 만든다.
つける,,"붙이다, 켜다",電気をつけると部屋が明るくなりました。,でんきをつけるとへやがあかるくなりました。,불을 켜면 방이 밝아졌습니다.,真っ暗な部屋で電気をつけた。,まっくらなへやででんきをつけた。,완전히 어두운 방에서 불을 켰다
つごう,都合,"형편, 사정",都合がつかないので、残念ながら行けません。,つごうがつかないので、ざんねんながらいけません。,상황이 여의치 않아서 안타깝게도 갈 수 없습니다.,来週の都合がつく日を教えてください。,らいしゅうのつごうがつくひをおしえてください。,다음 주에 시간이 맞는 날을 알려 주세요
つたえる,伝える,전달하다,私からあなたに大切なことをつたえます。,わたしからあなたにたいせつなことをつたえます。,나는 당신에게 중요한 것을 전달합니다.,私は彼に自分の気持ちを伝えるために話を始めた。,わたしはかれにじぶんのきもちをつたえるためにはなしをはじめた。,나는 그에게 내 마음을 전달하기 위해 이야기를 시작했다
つづく,続く,계속되다,物語はつづく。,ものがたりは つづく。,이야기는 계속된다.,この物語はまだ続く。,このものがたりはまだつづく。,이야기는 아직 계속됩니다
つづける,続ける,계속하다,雨が降り続けるでしょう。,あめがふりつづけるでしょう。,비가 계속 올 것입니다.,私は勉強をつづける。,わたしはべんきょうをつづける。,나는 공부를 계속한다
つとめる,勤める,근무하다,私たちは毎日勤勉につとめています。,わたしたちは まいにち きんべんに つとめています。,우리들은 매일 근면히 일합니다.,私は銀行に勤めています。,わたしはぎんこうにつとめています。,저는 은행에 근무하고 있습니다
つめたい,冷たい,차갑다,部屋がつめたいので、暖房をつけました。,へやがつめたいので、だんぼうをつけました。,방이 차가워서 난방을 켰습니다.,つめたい氷が口の中で解けると、冷たい味が広がる。,つめたいこおりがくちのなかでとけると、つめたいあじがひろがる。,입안에서 차가운 얼음이 녹으면 차가운 맛이 퍼진다
つもり,,~할 생각/작정,田舎に帰る予定はないつもりです。,いなかにかえるよていはないつもりです。,시골에 돌아갈 계획은 없을 작정입니다.,明日、映画を見に行くつもりです。,あした、えいがをみにいくつもりです。,내일 영화를 보러 갈 생각입니다
つよい,強い,강하다,彼は筋肉質で、つよい男性です。,かれは きんにくしつで、つよい だんせいです。,"그는 근육질이며, 힘센 남자입니다.",彼は強い信念を持っている。,かれはつよいしんねんをもっている。,그는 강한 신념을 가지고 있다
つれる,連れる,데리고 오[가]다,子供を公園につれていきました。,こどもをこうえんにつれていきました。,아이를 공원에 데리고 갔습니다.,彼は私の家に友達を連れてくる。,かれはわたしのいえにともだちをつれてくる。,그은 내 집으로 친구를 데려올 것이다
て,手,손,私の手はとても小さいです。,わたしのてはとてもちいさいです。,내 손은 매우 작습니다.,手を貸してください。,てをかしてください。,손을 빌려 주세요.
テーブル,,테이블,私たちはテーブルを囲んで食事をした。,わたしたちは テーブル を かこんで しょくじ を した。,우리는 테이블을 둘러싸고 식사를 했다.,このテーブルテーブルは新しいです。,このテーブルテーブルはあたらしいです。,이 테이블테이블은 새롭습니다
でかける,出かける,"외출하다, 나가다",僕は今から友達と映画を見にでかけます。,ぼくは いま から ともだち と えいが を み に でかけます。,나는 지금 친구와 영화를 보러 나갑니다.,今日は友達と出かける予定です。,きょうはともだちとでかけるよていです。,오늘은 친구들과 외출할 예정입니다
てがみ,手紙,편지,母からてがみが届きました。,はは から てがみ が とどきました。,엄마에게서 편지가 왔습니다.,今日は友だちから手紙が届いた。,きょうはともだちからてがみがとどいた。,오늘은 친구로부터 편지가 도착했다
できる,,"할 수 있다, 생기다",料理ができる。,りょうりができる。,요리를 할 수 있다.,私は日本語が少しできる。,わたしはにほんごがすこしできる。,나는 일본어를 조금 할 수 있다
でぐち,出口,출구,駅のでぐちはあちらにあります。,えきのでぐちはあちらにあります。,역의 출구는 저쪽에 있습니다.,出口は右手にあります。,でぐちはみぎてにあります。,출구는 오른쪽에 있습니다.
テスト,,"테스트, 시험",テストの準備はできましたか。,てすとの じゅんびは できましたか。,시험 준비는 했습니까?,明日、テストがあります。,あした、テストがあります。,내일 시험이 있습니다.
てつだう,手伝う,"거들다, 도와주다",母は毎日家事をてつだっています。,はは は まいにち かじ を てつだって います。,어머니는 매일 집안일을 거들고 계신다.,私は弟の宿題を手伝う。,わたしはおとうとのしゅくだいをてつだう。,나는 남동생의 숙제를 도와준다
では/じゃ,,그럼,そうだ、では、行こうか。,そうだ、では、いこうか。,"그렇지, 그럼 가자.",では、次の話題に移りましょう。,では、つぎのわだいにうつりましょう。,그럼 다음 주제로 넘어가겠습니다
デパート,,백화점,デパートに人が多くて混んでいました。,でぱーとにひとがおおくてこんでいました。,백화점에 사람들이 많아서 혼잡했습니다.,近くのデパートで新しいバッグを買いました。,ちかくのデパートであたらしいバッグをかいました。,근처의 백화점에서 새 가방을 샀습니다.
でも,,하지만,でも、今日はとても暑いですね。,でも、きょうはとてもあついですね。,하지만 오늘은 매우 덥군요.,雨が降っている。でも彼は出かけるつもりだ。,あめがふっている。でもかれはでかけるつもりだ。,비가 오고 있다
てら,寺,절,私たちはお寺に参拝に行きました。,わたしたちは おてらに さんぱいに いきました。,우리는 절에 참배하러 갔습니다.,私は京都の寺を訪れるのが好きです。,わたしはきょうとのてらをおとずれるのがすきです。,나는 교토의 절을 방문하는 것을 좋아합니다
でる,出る,나오[가]다,学校から出ました。,がっこうからでました。,학교에서 나왔습니다.,来週の試験に出る。,らいしゅうのしけんにでる。,다음 주 시험에 응시한다
テレビ,,텔레비전,テレビを見ながら夕食を食べるのが私の習慣です。,てれびをみながらゆうしょくをたべるのがわたしのしゅうかんです。,텔레비전을 보면서 저녁 식사를 하는 것이 나의 습관입니다.,私はテレビを見ています。,わたしはてれびをみています。,저는 텔레비전을 보고 있습니다
てん,点,"점, 점수",この問題の点数は満点ではありませんでした。,この もんだいの てんすうは まんてんでは ありませんでした。,이 문제의 점수는 만점이 아니었습니다.,私のテストの点数は90点です。,わたしのテストのてんすうはきゅうじゅうてんです。,나의 시험 점수는 90점입니다
てんいん,店員,점원,この店でてんいんさんに質問をしてみましょう。,この みせで てんいんさんに しつもんを してみましょう。,이 가게에서 점원에게 질문해 봅시다.,店員にこのシャツのサイズを聞いた。,てんいんにこのシャツのサイズをきいた。,점원에게 이 셔츠의 사이즈를 물었다.
てんき,天気,날씨,今日のてんきは良くて、外で遊ぶのが楽しいです。,きょうのてんきはよくて、そとであそぶのがたのしいです。,오늘 날씨가 좋아서 밖에서 놀기가 재미있습니다.,今日は天気がいいです。,きょうはてんきがいいです。,오늘은 날씨가 좋습니다
でんき,電気,전기,でんきなしでは、くらしにくい。,でんきなしでは、くらしにくい。,전기 없이는 생활하기 어렵다.,夜、でんきが切れてしまって、真っ暗だった。,よる、でんきがきれてしまって、まっくらだった。,밤에 전기가 나가서 아주 어두웠다
でんしゃ,電車,전철,でんしゃにのりましょう。,でんしゃにのりましょう。,전철을 타자.,今日はでんしゃで学校へ行きます。,きょうはでんしゃでがっこうへいきます。,오늘은 전철로 학교에 갑니다
でんわ,電話,전화,でんわでおかあさんといっしょにはなしました。,でんわでおかあさんといっしょにはなしました。,전화로 엄마와 함께 이야기했습니다.,会議の前に電話をかけて参加者を確認した。,かいぎのまえにでんわをかけてさんかしゃをかくにんした。,회의 전에 전화를 걸어 참가자를 확인했다
ドア,,문,新しい家のドアはとても立派です。,あたらしい いえの ドアは とても りっぱです。,새 집의 문은 매우 멋지다.,ドアを開けると、風が入ってきた。,どあをあけると、かぜがはいってきた。,문을 열자 바람이 들어왔다.
トイレ,,화장실,家にはトイレが二つあります。,いえにはトイレがふたつあります。,집에는 화장실이 두 개 있습니다.,トイレはどこですか。,といれはどこですか。,화장실은 어디에 있나요?
